path,noisy_labels_0,noisy_labels_1,noisy_labels_5,noisy_labels_25,noisy_labels_50,is_valid
train/n03000684/n03000684_6716.JPEG,n03000684,n03000684,n03000684,n03417042,n02102040,FALSE
train/n03394916/n03394916_38338.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n02979186/n02979186_23727.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,FALSE
train/n03425413/n03425413_8826.JPEG,n03425413,n03425413,n03425413,n03425413,n03888257,FALSE
train/n01440764/n01440764_4737.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03445777/n03445777_16379.JPEG,n03445777,n03445777,n03445777,n03417042,n03445777,FALSE
train/n03000684/n03000684_16549.JPEG,n03000684,n03000684,n03000684,n03000684,n03000684,FALSE
train/n02102040/n02102040_4147.JPEG,n02102040,n02102040,n02102040,n02102040,n03394916,FALSE
train/n02102040/n02102040_37.JPEG,n02102040,n02102040,n02102040,n02102040,n03028079,FALSE
train/n03028079/n03028079_12435.JPEG,n03028079,n03028079,n03028079,n02102040,n03417042,FALSE
train/n03394916/ILSVRC2012_val_00046669.JPEG,n03394916,n03394916,n03394916,n03394916,n03888257,FALSE
train/n01440764/n01440764_13255.JPEG,n01440764,n01440764,n01440764,n03445777,n03425413,FALSE
train/n03417042/n03417042_11037.JPEG,n03417042,n03417042,n03445777,n03417042,n03417042,FALSE
train/n01440764/n01440764_3236.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n02979186/n02979186_13289.JPEG,n02979186,n02979186,n02979186,n03000684,n01440764,FALSE
train/n03425413/n03425413_16109.JPEG,n03425413,n03425413,n03425413,n03000684,n03425413,FALSE
train/n01440764/n01440764_10108.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n01440764/n01440764_7269.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03425413/n03425413_13795.JPEG,n03425413,n03425413,n03425413,n03425413,n03417042,FALSE
train/n03425413/n03425413_14507.JPEG,n03425413,n03425413,n01440764,n03425413,n03028079,FALSE
train/n03417042/n03417042_1907.JPEG,n03417042,n03417042,n03417042,n01440764,n03394916,FALSE
train/n01440764/ILSVRC2012_val_00048204.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03394916/n03394916_38313.JPEG,n03394916,n03394916,n03394916,n03394916,n01440764,FALSE
